"Date","Start","End","Hours","Night Eating"
"2/4/2022","12:33","05:05","17"
"1/4/2022","14:59","04:38","13"
"31/3/2022","08:58","05:43","20"
"30/3/2022","08:55","05:02","20"
"29/3/2022","09:25","04:34","19"
"28/3/2022","09:44","05:21","19"
"27/3/2022","15:00","05:51","14"
"26/3/2022","09:50","05:52","20"
"25/3/2022","10:18","05:34","19"
"24/3/2022","19:00","06:02","11"
"23/3/2022","14:37","05:41","15"
"22/3/2022","10:28","05:20","18"
"21/3/2022","09:16","05:34","20"
"20/3/2022","10:59","05:23","18"
"19/3/2022","10:32","06:03","19"
"17/3/2022","08:13","05:28","45"
"16/3/2022","09:01","04:37","19"
"15/3/2022","09:46","05:44","19"
"14/3/2022","09:58","05:38","19"
"13/3/2022","11:09","05:40","18"
"12/3/2022","13:28","06:23","16"
"11/3/2022","10:48","06:11","19"
"10/3/2022","09:53","05:35","19"
"9/3/2022","08:16","06:18","22"
"8/3/2022","06:59","07:25","24"
"7/3/2022","05:58","06:14","24"
"6/3/2022","13:02","04:47","15"
"5/3/2022","13:32","06:32","17"
"4/3/2022","12:34","05:38","17"
"3/3/2022","14:20","05:18","14"
"2/3/2022","09:51","05:10","19"
"1/3/2022","09:56","05:24","19"
"28/2/2022","13:06","05:25","16"
"27/2/2022","10:03","05:41","19"
"26/2/2022","10:39","06:03","19"
"25/2/2022","10:35","05:40","19"
"24/2/2022","10:45","05:24","18"
"23/2/2022","10:59","05:26","18"
"22/2/2022","10:33","05:41","19"
"21/2/2022","11:23","05:59","18"
"20/2/2022","12:00","06:00","18"
"19/2/2022","11:10","07:23","20"
"18/2/2022","11:50","05:54","18"
"17/2/2022","12:00","05:41","17"
"16/2/2022","10:34","05:41","19"
"15/2/2022","10:35","05:41","19"
"14/2/2022","11:45","05:43","17"
"13/2/2022","14:45","05:33","14"
"12/2/2022","12:50","08:18","19"
"11/2/2022","12:00","05:25","17"
"10/2/2022","12:03","05:47","17"
"9/2/2022","12:08","05:38","17"
"8/2/2022","12:05","05:35","17"
"7/2/2022","11:59","05:52","17"
"6/2/2022","10:20","05:05","18"
"5/2/2022","12:00","06:45","18"
"4/2/2022","12:30","05:32","17"
"3/2/2022","12:33","05:38","17"
"2/2/2022","12:53","05:23","16"
"1/2/2022","13:50","05:51","16"
"31/1/2022","09:00","05:50","20"
"30/1/2022","11:42","05:55","18"
"29/1/2022","13:40","10:53","21"
